Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
49,8,0,192,3,Some Random Commen with Id 49
50,9,9,12,5,Some Random Commen with Id 50
51,9,9,137,3,Some Random Commen with Id 51
52,11,1,119,9,Some Random Commen with Id 52
53,11,1,38,4,Some Random Commen with Id 53
54,12,6,54,5,Some Random Commen with Id 54
55,12,6,87,2,Some Random Commen with Id 55
56,12,6,7,7,Some Random Commen with Id 56
57,12,6,13,1,Some Random Commen with Id 57
58,12,6,99,6,Some Random Commen with Id 58
59,13,3,1,7,Some Random Commen with Id 59
60,13,3,121,4,Some Random Commen with Id 60
61,13,3,7,5,Some Random Commen with Id 61
62,13,3,27,5,Some Random Commen with Id 62
63,13,3,163,2,Some Random Commen with Id 63
64,14,0,153,9,Some Random Commen with Id 64
65,14,0,57,1,Some Random Commen with Id 65
66,14,0,71,3,Some Random Commen with Id 66
67,14,0,62,5,Some Random Commen with Id 67
68,14,0,164,8,Some Random Commen with Id 68
69,14,0,19,7,Some Random Commen with Id 69
70,14,0,30,0,Some Random Commen with Id 70
71,14,0,40,5,Some Random Commen with Id 71
72,15,5,195,6,Some Random Commen with Id 72
73,15,5,96,6,Some Random Commen with Id 73
74,15,5,14,6,Some Random Commen with Id 74
75,15,5,157,8,Some Random Commen with Id 75
76,15,5,54,4,Some Random Commen with Id 76
77,15,5,137,9,Some Random Commen with Id 77
78,15,5,117,4,Some Random Commen with Id 78
79,16,0,1,2,Some Random Commen with Id 79
80,16,0,60,6,Some Random Commen with Id 80
81,16,0,150,2,Some Random Commen with Id 81
82,16,0,195,5,Some Random Commen with Id 82
83,16,0,30,2,Some Random Commen with Id 83
84,16,0,188,7,Some Random Commen with Id 84
85,17,5,181,5,Some Random Commen with Id 85
86,17,5,40,4,Some Random Commen with Id 86
87,17,5,181,9,Some Random Commen with Id 87
88,17,5,34,8,Some Random Commen with Id 88
89,18,6,122,2,Some Random Commen with Id 89
90,18,6,23,3,Some Random Commen with Id 90
91,18,6,48,1,Some Random Commen with Id 91
92,18,6,70,1,Some Random Commen with Id 92
93,19,9,91,9,Some Random Commen with Id 93
94,19,9,176,5,Some Random Commen with Id 94
95,20,7,116,1,Some Random Commen with Id 95
96,20,7,3,0,Some Random Commen with Id 96
97,20,7,61,1,Some Random Commen with Id 97
98,20,7,141,9,Some Random Commen with Id 98
99,20,7,199,3,Some Random Commen with Id 99
100,20,7,110,0,Some Random Commen with Id 100
101,20,7,83,7,Some Random Commen with Id 101
102,21,1,106,4,Some Random Commen with Id 102
103,22,3,111,9,Some Random Commen with Id 103
104,22,3,11,8,Some Random Commen with Id 104
105,22,3,90,7,Some Random Commen with Id 105
106,22,3,150,8,Some Random Commen with Id 106
107,23,6,5,1,Some Random Commen with Id 107
108,23,6,32,6,Some Random Commen with Id 108
109,23,6,8,1,Some Random Commen with Id 109
110,23,6,89,9,Some Random Commen with Id 110
111,23,6,120,9,Some Random Commen with Id 111
112,23,6,95,7,Some Random Commen with Id 112
113,23,6,37,1,Some Random Commen with Id 113
114,24,0,2,9,Some Random Commen with Id 114
115,24,0,179,7,Some Random Commen with Id 115
116,24,0,194,8,Some Random Commen with Id 116
117,24,0,55,5,Some Random Commen with Id 117
118,24,0,60,1,Some Random Commen with Id 118
119,25,4,98,8,Some Random Commen with Id 119
120,25,4,130,1,Some Random Commen with Id 120
121,25,4,120,1,Some Random Commen with Id 121
122,25,4,46,1,Some Random Commen with Id 122
123,25,4,143,3,Some Random Commen with Id 123
124,25,4,151,5,Some Random Commen with Id 124
125,25,4,9,2,Some Random Commen with Id 125
126,25,4,9,2,Some Random Commen with Id 126
127,25,4,95,9,Some Random Commen with Id 127
128,26,7,5,6,Some Random Commen with Id 128
129,26,7,72,1,Some Random Commen with Id 129
130,26,7,63,2,Some Random Commen with Id 130
131,27,1,86,2,Some Random Commen with Id 131
132,27,1,0,0,Some Random Commen with Id 132
133,27,1,59,9,Some Random Commen with Id 133
134,27,1,19,6,Some Random Commen with Id 134
135,27,1,172,0,Some Random Commen with Id 135
136,27,1,115,7,Some Random Commen with Id 136
137,27,1,68,2,Some Random Commen with Id 137
138,27,1,76,0,Some Random Commen with Id 138
139,28,6,132,0,Some Random Commen with Id 139
140,28,6,119,0,Some Random Commen with Id 140
141,28,6,21,6,Some Random Commen with Id 141
142,28,6,108,7,Some Random Commen with Id 142
143,28,6,182,9,Some Random Commen with Id 143
144,28,6,116,2,Some Random Commen with Id 144
145,28,6,147,3,Some Random Commen with Id 145
146,29,1,168,2,Some Random Commen with Id 146
147,29,1,68,2,Some Random Commen with Id 147
148,29,1,173,0,Some Random Commen with Id 148
149,30,5,179,6,Some Random Commen with Id 149
150,30,5,18,2,Some Random Commen with Id 150
151,30,5,5,2,Some Random Commen with Id 151
152,30,5,69,2,Some Random Commen with Id 152
153,31,2,75,3,Some Random Commen with Id 153
154,31,2,86,3,Some Random Commen with Id 154
155,31,2,153,9,Some Random Commen with Id 155
156,31,2,136,5,Some Random Commen with Id 156
157,31,2,93,9,Some Random Commen with Id 157
158,31,2,78,9,Some Random Commen with Id 158
159,33,7,11,3,Some Random Commen with Id 159
160,33,7,117,6,Some Random Commen with Id 160
161,34,0,113,4,Some Random Commen with Id 161
162,34,0,110,8,Some Random Commen with Id 162
163,34,0,52,2,Some Random Commen with Id 163
164,34,0,121,0,Some Random Commen with Id 164
165,34,0,159,2,Some Random Commen with Id 165
166,34,0,5,8,Some Random Commen with Id 166
167,34,0,127,3,Some Random Commen with Id 167
168,34,0,50,7,Some Random Commen with Id 168
169,35,9,22,1,Some Random Commen with Id 169
170,35,9,147,1,Some Random Commen with Id 170
171,35,9,156,3,Some Random Commen with Id 171
172,35,9,60,2,Some Random Commen with Id 172
173,35,9,50,8,Some Random Commen with Id 173
174,35,9,136,3,Some Random Commen with Id 174
175,35,9,48,5,Some Random Commen with Id 175
176,35,9,10,6,Some Random Commen with Id 176
177,37,9,171,0,Some Random Commen with Id 177
178,37,9,136,0,Some Random Commen with Id 178
179,37,9,18,9,Some Random Commen with Id 179
180,37,9,196,0,Some Random Commen with Id 180
181,37,9,178,9,Some Random Commen with Id 181
182,37,9,194,0,Some Random Commen with Id 182
183,37,9,26,0,Some Random Commen with Id 183
184,38,4,30,6,Some Random Commen with Id 184
185,38,4,8,6,Some Random Commen with Id 185
186,38,4,110,7,Some Random Commen with Id 186
187,39,8,161,5,Some Random Commen with Id 187
188,39,8,81,9,Some Random Commen with Id 188
189,39,8,168,6,Some Random Commen with Id 189
190,39,8,56,3,Some Random Commen with Id 190
191,39,8,79,7,Some Random Commen with Id 191
192,39,8,48,1,Some Random Commen with Id 192
